Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah)
1,	09/22/2022 15:27:13.774,60.0001,60.0001,1,1,0,0.131228,0,0,0,0,0,,-0.00000481064989799052,,,
2,	09/22/2022 15:28:13.775,120.0009,120.0009,1,1,0,0.1311831,0,0,0,0,0,,-0.00000292409708890773,,0,
3,	09/22/2022 15:29:13.775,180.0009,180.0009,1,1,0,0.1311316,0,0,0,0,0,,-0.000000116068001432268,,0,0
4,	09/22/2022 15:30:13.774,240.0002,240.0002,1,1,0,0.1310945,0,0,0,0,0,,-0.00000503508499605232,,0,
5,	09/22/2022 15:31:13.774,300.0002,300.0002,1,1,0,0.1310692,0,0,0,0,0,,0.00000160766603585216,,0,0
6,	09/22/2022 15:32:13.775,360.0009,360.0009,1,1,0,0.1310058,0,0,0,0,0,,0.00000278085508398362,,0,
7,	09/22/2022 15:33:13.775,420.001,420.001,1,1,0,0.1309619,0,0,0,0,0,,-0.0000066928778323927,,0,0
8,	09/22/2022 15:34:13.775,480.001,480.001,1,1,0,0.1309094,0,0,0,0,0,,-0.00000216810599340533,,0,
9,	09/22/2022 15:35:13.775,540.0009,540.0009,1,1,0,0.1308565,0,0,0,0,0,,0.00000133592902784585,,0,0
10,	09/22/2022 15:36:13.774,600,600,1,1,0,0.1308413,0,0,0,0,0,,-0.00000456590078101726,,0,
11,	09/22/2022 15:37:13.774,660.0002,660.0002,1,1,0,0.1307516,0,0,0,0,0,,0.0000015211310255836,,0,0
12,	09/22/2022 15:38:13.775,720.0009,720.0009,1,1,0,0.1307015,0,0,0,0,0,,0.000000745805095903052,,0,
13,	09/22/2022 15:39:13.775,780.0009,780.0009,1,1,0,0.1306825,0,0,0,0,0,,-0.00000395099095840123,,0,0
14,	09/22/2022 15:40:13.774,840.0001,840.0001,1,1,0,0.1306381,0,0,0,0,0,,-0.00000460073988506338,,0,
15,	09/22/2022 15:41:13.774,900.0003,900.0003,1,1,0,0.1305704,0,0,0,0,0,,-0.000000844531314214692,,0,0
16,	09/22/2022 15:42:13.775,960.0009,960.0009,1,1,0,0.1305575,0,0,0,0,0,,0.00000382803000320564,,0,
17,	09/22/2022 15:43:13.774,1020.0001,1020.0001,1,1,0,0.1305056,0,0,0,0,0,,-0.00000220774404624535,,0,0
18,	09/22/2022 15:44:13.774,1080.0002,1080.0002,1,1,0,0.130424,0,0,0,0,0,,-0.00000206701611205062,,0,
19,	09/22/2022 15:45:13.774,1140.0002,1140.0002,1,1,0,0.1304116,0,0,0,0,0,,-0.0000010446209444126,,0,0
20,	09/22/2022 15:46:13.774,1200.0002,1200.0002,1,1,0,0.1303439,0,0,0,0,0,,0.00000233110404224135,,0,
21,	09/22/2022 15:47:13.774,1260.0002,1260.0002,1,1,0,0.1303096,0,0,0,0,0,,0.000000469211187237306,,0,0
22,	09/22/2022 15:48:13.775,1320.001,1320.001,1,1,0,0.1302662,0,0,0,0,0,,-0.00000459796501672827,,0,
23,	09/22/2022 15:49:13.775,1380.0009,1380.0009,1,1,0,0.1301904,0,0,0,0,0,,-0.00000231161698138749,,0,0
24,	09/22/2022 15:50:13.774,1440.0001,1440.0001,1,1,0,0.1301756,0,0,0,0,0,,0.00000171622605193988,,0,
25,	09/22/2022 15:51:13.774,1500.0001,1500.0001,1,1,0,0.1301351,0,0,0,0,0,,-0.00000351661492459243,,0,0
26,	09/22/2022 15:52:13.775,1560.001,1560.001,1,1,0,0.1300535,0,0,0,0,0,,0.00000319783293889486,,0,
27,	09/22/2022 15:53:13.774,1620.0002,1620.0002,1,1,0,0.1300025,0,0,0,0,0,,0.00000189400600447698,,0,0
28,	09/22/2022 15:54:13.774,1680.0001,1680.0001,1,1,0,0.129992,0,0,0,0,0,,0.000000558114379600738,,0,
29,	09/22/2022 15:55:13.774,1740.0002,1740.0002,1,1,0,0.1299372,0,0,0,0,0,,-0.00000203254398911668,,0,0
30,	09/22/2022 15:56:13.775,1800.0009,1800.0009,1,1,0,0.1298876,0,0,0,0,0,,-0.00000146443301218824,,0,
31,	09/22/2022 15:57:13.774,1860.0001,1860.0001,1,1,0,0.1298637,0,0,0,0,0,,0.00000393890513805673,,0,0
32,	09/22/2022 15:58:13.774,1920.0002,1920.0002,1,1,0,0.129777,0,0,0,0,0,,-0.0000025979491056205,,0,
33,	09/22/2022 15:59:13.774,1980.0002,1980.0002,1,1,0,0.1297541,0,0,0,0,0,,0.000000605040611389995,,0,0
34,	09/22/2022 16:00:13.775,2040.001,2040.001,1,1,0,0.1297064,0,0,0,0,0,,-0.00000125945098261582,,0,
35,	09/22/2022 16:01:13.774,2100.0002,2100.0002,1,1,0,0.1296482,0,0,0,0,0,,-0.00000159037904268189,,0,0
36,	09/22/2022 16:02:13.775,2160.001,2160.001,1,1,0,0.1296287,0,0,0,0,0,,-0.000000876684225659119,,0,
37,	09/22/2022 16:03:13.775,2220.0011,2220.0011,1,1,0,0.1295652,0,0,0,0,0,,-0.00000130638295559038,,0,0
38,	09/22/2022 16:04:13.775,2280.001,2280.001,1,1,0,0.1295419,0,0,0,0,0,,0.000000125946201023908,,0,
39,	09/22/2022 16:05:13.775,2340.001,2340.001,1,1,0,0.1294575,0,0,0,0,0,,-0.00000160282002070744,,0,0
40,	09/22/2022 16:06:13.774,2400.0002,2400.0002,1,1,0,0.1294127,0,0,0,0,0,,0.00000157547094659094,,0,
41,	09/22/2022 16:07:13.774,2460.0002,2460.0002,1,1,0,0.1293507,0,0,0,0,0,,0.000000592692799727956,,0,0
42,	09/22/2022 16:08:13.774,2520.0002,2520.0002,1,1,0,0.1293125,0,0,0,0,0,,0.00000180030394858477,,0,
43,	09/22/2022 16:09:13.774,2580.0003,2580.0003,1,1,0,0.1292839,0,0,0,0,0,,-0.00000231891090152203,,0,0
44,	09/22/2022 16:10:13.775,2640.001,2640.001,1,1,0,0.1292605,0,0,0,0,0,,-0.00000167940800110955,,0,
45,	09/22/2022 16:11:13.774,2700.0001,2700.0001,1,1,0,0.1292076,0,0,0,0,0,,0.00000085440171915252,,0,0
46,	09/22/2022 16:12:13.774,2760.0002,2760.0002,1,1,0,0.1291671,0,0,0,0,0,,-0.00000785512838774594,,0,
47,	09/22/2022 16:13:13.774,2820.0002,2820.0002,1,1,0,0.1290889,0,0,0,0,0,,-0.00000187932994322182,,0,0
48,	09/22/2022 16:14:13.774,2880.0001,2880.0001,1,1,0,0.1290498,0,0,0,0,0,,-0.00000439798304796568,,0,
49,	09/22/2022 16:15:13.774,2940.0002,2940.0002,1,1,0,0.1290097,0,0,0,0,0,,0.00000285953001366579,,0,0
50,	09/22/2022 16:16:13.774,3000.0003,3000.0003,1,1,0,0.1289859,0,0,0,0,0,,-0.00000131378101286828,,0,
51,	09/22/2022 16:17:13.775,3060.0009,3060.0009,1,1,0,0.1288948,0,0,0,0,0,,-0.00000211639007829945,,0,0
52,	09/22/2022 16:18:13.774,3120.0002,3120.0002,1,1,0,0.1288762,0,0,0,0,0,,-0.00000301305499306181,,0,
53,	09/22/2022 16:19:13.774,3180.0002,3180.0002,1,1,0,0.1288652,0,0,0,0,0,,0.0000022769090719521,,0,0
54,	09/22/2022 16:20:13.774,3240.0002,3240.0002,1,1,0,0.1288199,0,0,0,0,0,,-0.00000538605081601418,,0,
55,	09/22/2022 16:21:13.774,3300.0002,3300.0002,1,1,0,0.1287637,0,0,0,0,0,,-0.00000129413194827066,,0,0
56,	09/22/2022 16:22:13.774,3360.0003,3360.0003,1,1,0,0.1287184,0,0,0,0,0,,-0.000000871745100994303,,0,
57,	09/22/2022 16:23:13.774,3420.0003,3420.0003,1,1,0,0.1287184,0,0,0,0,0,,-0.00000222735297938925,,0,0
58,	09/22/2022 16:24:13.774,3480.0002,3480.0002,1,1,0,0.1286325,0,0,0,0,0,,0.0000029879370231356,,0,
59,	09/22/2022 16:25:13.775,3540.001,3540.001,1,1,0,0.1286068,0,0,0,0,0,,0.00000117797696930211,,0,0
60,	09/22/2022 16:26:13.774,3600.0001,3600.0001,1,1,0,0.1285691,0,0,0,0,0,,-0.00000441552492702613,,0,
61,	09/22/2022 16:26:13.776,3600.0017,3600.0017,1,1,0,0.1285691,0,0,0,0,0,,-0.00000441552492702613,0,0,0
62,	09/22/2022 16:26:43.813,3630.0388,30.0002,1,2,0.002609919,1.499957,0.003914766273483,0.0000998857,0,0.0001282493,0,,-0.00000640097596260603,,-0.00017575069796294,-4545.88623046875
63,	09/22/2022 16:27:13.814,3660.0396,60.001,1,2,0.001547102,1.500036,0.002320708695672,0.0001157593,0,0.0001520598,0,,0.00000847599858389003,,,
64,	09/22/2022 16:27:43.813,3690.0389,90.0003,1,2,0.001187458,1.499934,0.001781108627772,0.0001269066,0,0.0001687807,0,,-0.00000896882283996092,,0,
65,	09/22/2022 16:28:13.813,3720.0395,120.0009,1,2,0.0009395523,1.500071,0.0014093951582133,0.000135632,0,0.0001818688,0,,0.00000811928566690767,,,
66,	09/22/2022 16:28:43.813,3750.0387,150.0001,1,2,0.0007536616,1.500031,0.0011305157635096,0.0001425741,0,0.000192282,0,,-0.00000276603691418131,,0,0
67,	09/22/2022 16:29:13.813,3780.0387,180.0001,1,2,0.0006298388,1.499959,0.0009447323766092,0.0001482637,0,0.0002008163,0,,-0.0000055119521675806,,,
68,	09/22/2022 16:29:43.814,3810.0396,210.001,1,2,0.0005373675,1.500053,0.0008060797304775,0.0001530688,0,0.000208024,0,,0.00000782302595325746,,0,
69,	09/22/2022 16:30:13.813,3840.0388,240.0002,1,2,0.0004708303,1.499962,0.0007062275584486,0.0001572315,0,0.000214268,0,,-0.00000551236280443845,,,
70,	09/22/2022 16:30:43.813,3870.0388,270.0002,1,2,0.0004183937,1.500092,0.0006276290422204,0.0001609231,0,0.0002198055,0,,0.000020210660295561,,0,0
71,	09/22/2022 16:31:13.813,3900.0393,300.0007,1,2,0.0003817454,1.500022,0.0005726264983988,0.000164247,0,0.0002247914,0,,-0.0000122892097351723,,,
72,	09/22/2022 16:31:43.813,3930.0387,330.0001,1,2,0.000348716,1.500057,0.000523093876812,0.0001672774,0,0.0002293369,0,,0.00000742792417440796,,0,
73,	09/22/2022 16:32:13.813,3960.0395,360.0009,1,2,0.0003228541,1.500063,0.0004843014898083,0.0001700701,0,0.000233526,0,,-0.00000288441401607997,,,
74,	09/22/2022 16:32:43.813,3990.0395,390.0009,1,2,0.000297357,1.499953,0.000446021524221,0.0001726597,0,0.0002374103,0,,0.0000159048504428938,,0,0
75,	09/22/2022 16:33:13.814,4020.0398,420.0012,1,2,0.0002828416,1.500166,0.0004243093517056,0.0001750804,0,0.0002410415,0,,0.00000231134890782414,,,
76,	09/22/2022 16:33:43.814,4050.0398,450.0012,1,2,0.000267356,1.500059,0.000401049774004,0.0001773545,0,0.0002444526,0,,0.0000100762799775111,,0,
77,	09/22/2022 16:34:13.813,4080.0395,480.0009,1,2,0.0002535071,1.50005,0.000380273325355,0.0001795075,0,0.0002476821,0,,0.0000323591484630015,,,
78,	09/22/2022 16:34:43.813,4110.0393,510.0007,1,2,0.0002408499,1.500162,0.0003613138676838,0.0001815507,0,0.0002507469,0,,0.00000900833310879534,,0,0
79,	09/22/2022 16:35:13.813,4140.0393,540.0007,1,2,0.0002271743,1.499795,0.0003407148792685,0.0001834947,0,0.0002536629,0,,0.0000259202206507325,,,
80,	09/22/2022 16:35:43.814,4170.0404,570.0018,1,2,0.0002215953,1.500182,0.0003324332803446,0.0001853572,0,0.0002564567,0,,0.00000274632498076244,,0,
81,	09/22/2022 16:36:13.814,4200.0396,600.001,1,2,0.0002141495,1.500182,0.000321263225209,0.0001871414,0,0.000259133,0,,0.00000628244015388191,,,
82,	09/22/2022 16:36:43.814,4230.0398,630.0012,1,2,0.0002025158,1.500186,0.0003038113679388,0.0001888534,0,0.0002617012,0,,0.0000389988599636126,,0,0
83,	09/22/2022 16:37:13.813,4260.039,660.0004,1,2,0.0001938562,1.500223,0.0002908275299326,0.0001905097,0,0.0002641856,0,,-0.0000434835310443304,,,
84,	09/22/2022 16:37:43.813,4290.0394,690.0008,1,2,0.0001928214,1.500128,0.0002892567811392,0.0001921061,0,0.0002665803,0,,0.000017878530343296,,0,
85,	09/22/2022 16:38:13.813,4320.0388,720.0002,1,2,0.0001840152,1.500219,0.0002760630993288,0.0001936465,0,0.0002688909,0,,-0.0000210998605325585,,,
86,	09/22/2022 16:38:43.813,4350.0395,750.0009,1,2,0.000177945,1.499794,0.00026688084333,0.0001951438,0,0.0002711369,0,,-0.00000177807794443652,,0,0
87,	09/22/2022 16:39:13.813,4380.0387,780.0001,1,2,0.0001706025,1.500183,0.0002559349702575,0.0001965988,0,0.0002733193,0,,-0.00000837714105728082,,,
88,	09/22/2022 16:39:43.813,4410.0386,810,1,2,0.000169602,1.500244,0.000254444382888,0.0001980183,0,0.0002754487,0,,0.0000193807300092885,,0,
89,	09/22/2022 16:40:13.813,4440.0388,840.0002,1,2,0.0001680064,1.500065,0.000252020520416,0.0001993997,0,0.0002775209,0,,0.0000499244888487738,,,
90,	09/22/2022 16:40:43.813,4470.0389,870.0003,1,2,0.0001575966,1.499855,0.000236372048493,0.0002007364,0,0.0002795259,0,,0.0000226619395107264,,0,0
91,	09/22/2022 16:41:13.813,4500.0395,900.0009,1,2,0.0001506122,1.499943,0.0002259097151046,0.0002020426,0,0.0002814852,0,,0.0000316300393023994,,,
92,	09/22/2022 16:41:43.813,4530.0394,930.0008,1,2,0.0001546799,1.500082,0.0002320325337518,0.0002033194,0,0.0002834006,0,,-0.0000300495194096584,,0,
93,	09/22/2022 16:42:13.814,4560.0403,960.0017,1,2,0.0001444583,1.499933,0.0002166777712939,0.0002045619,0,0.0002852643,0,,-0.0000390982895623893,,,
94,	09/22/2022 16:42:43.814,4590.0396,990.001,1,2,0.0001437272,1.50012,0.000215608047264,0.0002057867,0,0.0002871016,0,,0.000011912929949176,,0,0
95,	09/22/2022 16:43:13.813,4620.0387,1020.0001,1,2,0.0001449956,1.499987,0.0002174915150572,0.0002069841,0,0.0002888977,0,,0.00000877134516485967,,,
96,	09/22/2022 16:43:43.813,4650.0388,1050.0002,1,2,0.0001410627,1.499941,0.0002115857273007,0.0002081541,0,0.0002906528,0,,0.00000379345397050201,,0,
97,	09/22/2022 16:44:13.814,4680.0396,1080.001,1,2,0.0001395747,1.499998,0.0002093617708506,0.0002092985,0,0.0002923694,0,,0.000015094789887371,,,
98,	09/22/2022 16:44:43.813,4710.039,1110.0004,1,2,0.0001311188,1.499797,0.0001966515828836,0.0002104167,0,0.0002940467,0,,0.0000273029309028061,,0,0
99,	09/22/2022 16:45:13.813,4740.0388,1140.0002,1,2,0.0001288892,1.499743,0.0001933006754756,0.0002115162,0,0.000295696,0,,0.00000851495042297756,,,
100,	09/22/2022 16:45:43.813,4770.0394,1170.0008,1,2,0.0001261375,1.500271,0.0001892404332625,0.0002125978,0,0.0002973184,0,,0.00000693450601829682,,0,
101,	09/22/2022 16:46:13.814,4800.0404,1200.0018,1,2,0.0001251587,1.499793,0.0001877121421491,0.0002136579,0,0.0002989087,0,,0.0000426311889896169,,,
102,	09/22/2022 16:46:43.814,4830.0396,1230.001,1,2,0.000125548,1.500051,0.000188328402948,0.0002146992,0,0.0003004706,0,,0.00000985837505140807,,0,0
103,	09/22/2022 16:47:13.813,4860.0388,1260.0002,1,2,0.0001236765,1.500189,0.0001855381248585,0.0002157232,0,0.0003020067,0,,0.00000209418089980318,,,
104,	09/22/2022 16:47:43.814,4890.0398,1290.0012,1,2,0.0001211433,1.50008,0.000181724641464,0.0002167302,0,0.0003035172,0,,0.0000110042401502142,,0,
105,	09/22/2022 16:48:13.814,4920.0396,1320.001,1,2,0.0001207612,1.500083,0.0001811518231796,0.0002177229,0,0.0003050064,0,,0.0000376137395505793,,,
106,	09/22/2022 16:48:43.813,4950.0394,1350.0008,1,2,0.0001130061,1.499778,0.0001694840626458,0.000218696,0,0.000306466,0,,0.0000273410805675667,,0,0
107,	09/22/2022 16:49:13.814,4980.0403,1380.0017,1,2,0.0001134961,1.500144,0.0001702604934384,0.0002196521,0,0.0003079002,0,,0.0000193823398149107,,,
108,	09/22/2022 16:49:43.814,5010.0405,1410.0019,1,2,0.000109841,1.499839,0.000164743815599,0.000220591,0,0.0003093085,0,,0.0000250887896982022,,0,
109,	09/22/2022 16:50:13.813,5040.0386,1440,1,2,0.0001107214,1.50019,0.000166103137066,0.000221517,0,0.0003106975,0,,0.0000179189300979488,,,
110,	09/22/2022 16:50:43.814,5070.0398,1470.0012,1,2,0.0001125869,1.500177,0.0001689002778813,0.0002224269,0,0.0003120624,0,,0.0000279355899692746,,0,0
111,	09/22/2022 16:51:13.814,5100.0398,1500.0012,1,2,0.000109474,1.499794,0.000164188448356,0.0002233298,0,0.0003134168,0,,0.0000328941787302028,,,
112,	09/22/2022 16:51:43.813,5130.039,1530.0004,1,2,0.0001081759,1.500121,0.0001622769392839,0.0002242133,0,0.0003147422,0,,0.000031925861549098,,0,
113,	09/22/2022 16:52:13.813,5160.0387,1560.0001,1,2,0.000107561,1.500028,0.000161344511708,0.0002250904,0,0.0003160578,0,,-0.00003162951907143,,,
114,	09/22/2022 16:52:43.814,5190.0404,1590.0018,1,2,0.0001051972,1.499932,0.0001577886465904,0.0002259556,0,0.0003173557,0,,-0.0000231923095270758,,0,0
115,	09/22/2022 16:53:13.813,5220.0387,1620.0001,1,2,0.00009937304,1.500137,0.00014907317410648,0.000226805,0,0.0003186298,0,,-0.0000244975599343888,,,
116,	09/22/2022 16:53:43.814,5250.0396,1650.001,1,2,0.00009951974,1.500089,0.00014928846725686,0.0002276473,0,0.0003198932,0,,-0.000032734500564402,,,
117,	09/22/2022 16:54:13.813,5280.0388,1680.0002,1,2,0.00009914609,1.50013,0.0001487320239917,0.0002284797,0,0.0003211419,0,,0.0000201118800760014,,0,
118,	09/22/2022 16:54:43.813,5310.039,1710.0004,1,2,0.00009795217,1.499831,0.00014691170108327,0.0002293003,0,0.0003223729,0,,0.0000190241808013525,,,0
119,	09/22/2022 16:55:13.813,5340.0388,1740.0002,1,2,0.0000942702,1.5,0.0001414053,0.0002301085,0,0.0003235852,0,,0.0000268503208644688,,0,
120,	09/22/2022 16:55:43.813,5370.0388,1770.0002,1,2,0.00009319307,1.4999,0.000139780285693,0.0002309103,0,0.0003247878,0,,0.0000306419606204145,,,
121,	09/22/2022 16:56:13.814,5400.0403,1800.0017,1,2,0.00009441311,1.499804,0.00014160116003044,0.000231702,0,0.0003259754,0,,-0.0000423574310843833,,0,
122,	09/22/2022 16:56:43.814,5430.0404,1830.0018,1,2,0.00009050863,1.499961,0.00013575941516343,0.000232479,0,0.0003271409,0,,-0.0000310591603920329,,,0
123,	09/22/2022 16:57:13.814,5460.0396,1860.001,1,2,0.00009045607,1.499987,0.00013568292907109,0.0002332515,0,0.0003282996,0,,-0.0000333115494868252,,0,
124,	09/22/2022 16:57:43.813,5490.0388,1890.0002,1,2,0.00009398293,1.500053,0.00014097937609529,0.0002340186,0,0.0003294503,0,,-0.0000272634206339717,,,
125,	09/22/2022 16:58:13.814,5520.0396,1920.001,1,2,0.00009402593,1.500085,0.00014104688720405,0.0002347778,0,0.0003305892,0,,0.00000922678555070888,,0,
126,	09/22/2022 16:58:43.813,5550.0389,1950.0003,1,2,0.00009173326,1.500103,0.00013760933852578,0.0002355256,0,0.0003317109,0,,0.0000129806203403859,,,0
