Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah)
1,	09/22/2022 15:27:13.743,60.0009,60.0009,1,1,0,0.08341932,0,0,0,0,0,,0.00000496092206958565,,,
2,	09/22/2022 15:28:13.743,120.001,120.001,1,1,0,0.0836792,0,0,0,0,0,,0.0000018459760440237,,0,
3,	09/22/2022 15:29:13.743,180.0009,180.0009,1,1,0,0.08393335,0,0,0,0,0,,0.0000032326190648746,,0,0
4,	09/22/2022 15:30:13.742,240.0002,240.0002,1,1,0,0.08421993,0,0,0,0,0,,0.00000416366719946382,,0,
5,	09/22/2022 15:31:13.742,300.0002,300.0002,1,1,0,0.08448696,0,0,0,0,0,,0.00000577994205741561,,0,0
6,	09/22/2022 15:32:13.743,360.001,360.001,1,1,0,0.08474636,0,0,0,0,0,,0.00000656031397738843,,0,
7,	09/22/2022 15:33:13.742,420.0002,420.0002,1,1,0,0.08501196,0,0,0,0,0,,-0.00000117796696486039,,0,0
8,	09/22/2022 15:34:13.742,480.0001,480.0001,1,1,0,0.08526945,0,0,0,0,0,,0.00000693243782734498,,0,
9,	09/22/2022 15:35:13.743,540.001,540.001,1,1,0,0.08551645,0,0,0,0,0,,0.00000266074493993074,,0,0
10,	09/22/2022 15:36:13.742,600.0001,600.0001,1,1,0,0.08580017,0,0,0,0,0,,0.00000656975680612959,,0,
11,	09/22/2022 15:37:13.742,660.0002,660.0002,1,1,0,0.08601522,0,0,0,0,0,,0.00000411767314290046,,0,0
12,	09/22/2022 15:38:13.742,720.0002,720.0002,1,1,0,0.08627415,0,0,0,0,0,,0.00000470414806841291,,0,
13,	09/22/2022 15:39:13.743,780.0009,780.0009,1,1,0,0.08648205,0,0,0,0,0,,0.00000430933505413122,,0,0
14,	09/22/2022 15:40:13.742,840.0002,840.0002,1,1,0,0.08668756,0,0,0,0,0,,0.00000577785522182239,,0,
15,	09/22/2022 15:41:13.743,900.001,900.001,1,1,0,0.08694172,0,0,0,0,0,,0.00000112247698780266,,0,0
16,	09/22/2022 15:42:13.743,960.001,960.001,1,1,0,0.08719778,0,0,0,0,0,,0.00000397224403059226,,0,
17,	09/22/2022 15:43:13.743,1020.001,1020.001,1,1,0,0.08735561,0,0,0,0,0,,0.00000256335397352814,,0,0
18,	09/22/2022 15:44:13.743,1080.001,1080.001,1,1,0,0.08760977,0,0,0,0,0,,0.00000393123582398403,,0,
19,	09/22/2022 15:45:13.742,1140.0001,1140.0001,1,1,0,0.08778858,0,0,0,0,0,,0.00000354848293682153,,0,0
20,	09/22/2022 15:46:13.742,1200.0002,1200.0002,1,1,0,0.08799934,0,0,0,0,0,,0.00000574745718040504,,0,
21,	09/22/2022 15:47:13.742,1260.0001,1260.0001,1,1,0,0.08821011,0,0,0,0,0,,0.00000750077106204117,,0,0
22,	09/22/2022 15:48:13.743,1320.0008,1320.0008,1,1,0,0.08835077,0,0,0,0,0,,0.00000124586904348689,,0,
23,	09/22/2022 15:49:13.742,1380.0002,1380.0002,1,1,0,0.08857632,0,0,0,0,0,,-0.0000015348150554928,,0,0
24,	09/22/2022 15:50:13.742,1440.0001,1440.0001,1,1,0,0.08874464,0,0,0,0,0,,0.00000599355598751572,,0,
25,	09/22/2022 15:51:13.742,1500.0002,1500.0002,1,1,0,0.08891726,0,0,0,0,0,,0.000000743378677725559,,0,0
26,	09/22/2022 15:52:13.742,1560.0002,1560.0002,1,1,0,0.08914518,0,0,0,0,0,,0.00000536413699592231,,0,
27,	09/22/2022 15:53:13.743,1620.0008,1620.0008,1,1,0,0.0893116,0,0,0,0,0,,0.00000356006808033271,,0,0
28,	09/22/2022 15:54:13.742,1680.0003,1680.0003,1,1,0,0.08946609,0,0,0,0,0,,0.00000509004485138576,,0,
29,	09/22/2022 15:55:13.743,1740.0009,1740.0009,1,1,0,0.0896368,0,0,0,0,0,,0.0000033745889140846,,0,0
30,	09/22/2022 15:56:13.743,1800.001,1800.001,1,1,0,0.0898037,0,0,0,0,0,,0.00000648987906970433,,0,
31,	09/22/2022 15:57:13.742,1860.0001,1860.0001,1,1,0,0.0899806,0,0,0,0,0,,0.00000308218091049639,,0,0
32,	09/22/2022 15:58:13.742,1920.0003,1920.0003,1,1,0,0.09012175,0,0,0,0,0,,0.00000129765396650328,,0,
33,	09/22/2022 15:59:13.744,1980.0018,1980.0018,1,1,0,0.09030771,0,0,0,0,0,,0.00000122233802812843,,0,0
34,	09/22/2022 16:00:13.742,2040.0002,2040.0002,1,1,0,0.09042025,0,0,0,0,0,,0.00000730042302166112,,0,
35,	09/22/2022 16:01:13.743,2100.0011,2100.0011,1,1,0,0.09058619,0,0,0,0,0,,0.00000436119489677367,,0,0
36,	09/22/2022 16:02:13.744,2160.0018,2160.0018,1,1,0,0.09072638,0,0,0,0,0,,0.00000823465779831167,,0,
37,	09/22/2022 16:03:13.742,2220.0001,2220.0001,1,1,0,0.09090853,0,0,0,0,0,,0.00000569806888961466,,0,0
38,	09/22/2022 16:04:13.743,2280.0011,2280.0011,1,1,0,0.09101629,0,0,0,0,0,,0.00000324104689752858,,0,
39,	09/22/2022 16:05:13.743,2340.0009,2340.0009,1,1,0,0.09115267,0,0,0,0,0,,0.00000207070297619794,,0,0
40,	09/22/2022 16:06:13.742,2400.0002,2400.0002,1,1,0,0.09129572,0,0,0,0,0,,0.00000146566799230641,,0,
41,	09/22/2022 16:07:13.743,2460.001,2460.001,1,1,0,0.0914073,0,0,0,0,0,,0.00000201268608179817,,0,0
42,	09/22/2022 16:08:13.743,2520.001,2520.001,1,1,0,0.09152699,0,0,0,0,0,,0.0000016927670003497,,0,
43,	09/22/2022 16:09:13.742,2580.0002,2580.0002,1,1,0,0.09168243,0,0,0,0,0,,-0.0000000901379522133539,,0,0
44,	09/22/2022 16:10:13.742,2640.0002,2640.0002,1,1,0,0.09181356,0,0,0,0,0,,0.00000305831395053247,,0,
45,	09/22/2022 16:11:13.743,2700.0011,2700.0011,1,1,0,0.09191418,0,0,0,0,0,,0.00000469797487312462,,0,0
